,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,Total
1, ,-8,6,-8,-1,-9,-8,-10,-6,-6,-8,-10,-10,-6,-1,-85
2,8, ,-1,-6,0,-4,-8,-8,-10,-10,-10,-6,-9,-10,-10,-84
3,-6,1, ,-9,-9,-3,3,-6,-4,-8,-8,-6,-7,-4,-10,-76
4,8,6,9, ,-9,4,-9,-1,3,4,-10,-10,-4,-10,-10,-29
5,1,0,9,9, ,-6,-2,-1,-8,-2,-6,-5,-9,-10,-6,-36
6,9,4,3,-4,6, ,6,8,-8,-9,-4,-4,4,-10,-8,-7
7,8,8,-3,9,2,-6, ,-2,-10,-4,-8,-10,-6,-10,-8,-40
8,10,8,6,1,1,-8,2, ,-10,-8,-4,-8,-4,-10,-8,-32
9,6,10,4,-3,8,8,10,10, ,-6,-6,-4,-6,-10,-10,11
10,6,10,8,-4,2,9,4,8,6, ,-4,-7,6,-10,-8,26
11,8,10,8,10,6,4,8,4,6,4, ,-4,2,-10,0,56
12,10,6,6,10,5,4,10,8,4,7,4, ,-5,-2,0,67
13,10,9,7,4,9,-4,6,4,6,-6,-2,5, ,-6,4,46
14,6,10,4,10,10,10,10,10,10,10,10,2,6, ,-6,102
15,1,10,10,10,6,8,8,8,10,8,0,0,-4,6, ,81
